Product Name,Description,Type,Target Audience Age,Target Audience Income (LPA),Annual Spends (LPA),CIBIL Score,Rewards
Tech Startup Fund,A specialized investment designed for specific user needs.,Investment,26,30.67,27.32,745,5% cashback on dining
Ultra HFT Trading Account,A specialized trading designed for specific user needs.,Trading,46,62.87,93.15,819,Premium concierge services
Business Travel Card,A specialized credit card designed for specific user needs.,Credit Card,30,14.97,13.46,782,Premium concierge services
Gamer Credit Card,A specialized credit card designed for specific user needs.,Credit Card,30,10.3,2.67,783,Exclusive airport lounge access
Freelancer Growth Fund,A specialized investment designed for specific user needs.,Investment,30,10.0,9.76,819,2% cashback on all purchases
Elite Wealth Management,A specialized investment designed for specific user needs.,Investment,37,81.08,27.05,866,10X rewards on travel bookings
Student Credit Card,A specialized credit card designed for specific user needs.,Credit Card,19,2.69,0.66,684,Exclusive airport lounge access
Retirement Investment Plan,A specialized investment designed for specific user needs.,Investment,48,35.13,17.41,777,Exclusive airport lounge access
Tech Startup Fund,A specialized investment designed for specific user needs.,Investment,23,19.71,12.18,776,2% cashback on all purchases
Gamer Credit Card,A specialized credit card designed for specific user needs.,Credit Card,19,4.51,1.01,708,Exclusive airport lounge access
Gamer Credit Card,A specialized credit card designed for specific user needs.,Credit Card,28,7.49,4.19,787,Premium concierge services
Luxury Lifestyle Card,A specialized credit card designed for specific user needs.,Credit Card,45,73.86,41.23,786,Premium concierge services
Youngster Credit Card,A specialized credit card designed for specific user needs.,Credit Card,23,5.18,2.95,771,Discounts on luxury brands
